5	75	59
91	30	2
30	1	91
72	35	26
39	62	77
59	42	64
55	47	56
31	19	46
43	27	68
71	86	39
19	30	46
50	24	51
57	67	47
81	24	32
18	23	3
22	49	67
51	52	32
83	23	39
23	14	3
31	10	7
63	49	61
80	35	18
30	49	15
62	18	4
11	77	32
27	67	53
92	89	3
43	8	25
46	33	10
38	84	87
22	10	41
19	7	10
11	50	16
28	10	19
48	85	36
3	60	18
54	48	85
55	45	4
87	29	44
4	32	71
5	0	59
60	22	30
64	5	19
27	8	68
54	87	38
88	74	37
28	10	7
53	61	82
54	36	85
22	63	20
11	32	78
64	92	11
78	51	42
63	67	47
36	48	44
53	6	37
6	25	55
75	12	50
19	78	51
5	64	42
41	35	22
63	20	47
23	4	18
53	20	61
78	51	42
9	45	62
57	76	75
73	53	63
8	27	43
73	43	8
46	7	28
9	39	4
3	14	35
67	43	25
88	45	82
57	11	64
47	82	6
24	4	11
64	52	51
58	78	64
21	35	3
13	78	64
47	76	61
17	39	4
29	38	87
48	36	34
9	65	71
38	29	44
74	45	16
92	26	77
33	8	68
1	41	2
51	10	52
7	31	19
